"Address","Name","Is delegator","Avatar","Space","Ens name","Follow Count","Follows Space","Total Votes","Proposal Interaction","Proposal Interaction In Space","Proposal Interaction outside of Space","Total NFT`s","Total Rewards NFT`s","User is delegator"
"0x517deE8Ec1fA6Bb05a780a8e18CBe0D7A1772B63","","0","","aave.eth","","1","1","19678.690335627","1","1","0","0","0","0"
"0x38f046Ae944021351CE5C2486dee3027c949858F","","0","","aave.eth","","0","0","19598.246458851","4","4","0","0","0","0"
"0x41cb7d39b1100B320E8CFe27db9b526c671e7A07","","0","","aave.eth","","0","0","18874.19635809","1","1","0","0","0","0"
"0x71ddF8977C81e3AE6aA4dFDf8DAeb01F3a65b99C","","0","","aave.eth","","7","1","18780.985416842","21","4","17","0","0","0"
"0xE58585B22cC2aC4270a2b92c2D2d8C5dB5A3330E","","0","","aave.eth","refri.eth","20","1","19903.576811106","703","192","511","14","0","0"
"0x0F11640BF66e2D9352d9c41434A5C6E597c5e4c8","","0","","aave.eth","","0","0","17717.778346925","3","3","0","0","0","0"
"0xA567501aBf12f401C9E613b6323C43cf29B0F92c","","0","","aave.eth","aoi-jp.eth","2","1","21912.817","50","34","16","0","0","0"
"0x29c7B44E0584624C1e877d3eE0856520e2851Ba6","","0","","aave.eth","","15","1","16655.745334102","119","20","99","3","0","0"
"0x8dd6265F927F6db3057649FFE4f12B7013F3f976","","0","","aave.eth","","0","0","16515.707181146","7","7","0","0","0","0"
"0x739952a05413f338c43C71F7cE8f86D982829179","","0","","aave.eth","","1","1","16068.842405607","22","6","16","15","0","0"
"0x52EAF3F04cbac0a4B9878A75AB2523722325D4D4","","0","","aave.eth","davidev.lens.xyz","1","0","15858.097798582","25","23","2","3","0","0"
"0x4a8B9E2C2940fdd39aceb384654dc59aCB58C337","","0","","aave.eth","","9","1","15438.382725337","22","2","20","34","2","0"
"0x4B581dedA2f2C0650C3dFC506C86a8C140d9f699","","0","","aave.eth","","0","0","14433.180892591","17","2","15","0","0","0"
"0x88DE60cd96fb5eE9616f64d892644f53f35BE4f9","","0","","aave.eth","","0","0","13500","18","18","0","0","0","0"
"0xc290Cfb8D020c0615e9C63036f4319Cc41717E68","Matthew Graham","0","ipfs://QmWCXkEVhg3cMUCrB7sPXbDiij3QCE76xa9UDGPx8DyNaL","aave.eth","betainvestments.eth","10","1","13472.468685685","485","118","367","1","0","0"
"0x8C3deAcB8B367b6756A4C7F58788e36a643381b0","","0","","aave.eth","","0","0","12765.738019801","6","6","0","0","0","0"
"0xa550A71B4a78b67c03900AC2B598B0e0b9D4668F","","0","","aave.eth","","0","0","12667.912839045","6","5","1","0","0","0"
"0x9824697F7c12CAbAda9b57842060931c48dEA969","","0","","aave.eth","","17","1","12552.092665083","311","21","290","5","0","0"
"0x7c78A5C8A293f887bd968cDC3154FB0578E7bf19","","0","","aave.eth","","0","0","12003.719761757","6","6","0","0","0","0"
"0x8Df352DdeAEe7Abc815674051B75f4734A87B622","","0","","aave.eth","hundredtwenty.eth","17","1","11868.999390516","360","235","125","7","0","0"
"0x4c9F7207be28278b9DCA129f2e211AcfFf48Fb01","","0","","aave.eth","holonaut.eth","15","1","12692.523848149","20","7","13","10","0","0"
"0x510b2D8E30e8c79247C51E04D5Be8bF7262F9938","","0","","aave.eth","","0","0","10665.050776135","2","2","0","0","0","0"
"0x212BAf65228fe03674Da0EFb88cAc7EADB276DB5","","0","","aave.eth","","0","0","9999.9999","7","1","6","0","0","0"
"0xE335eA94352a4D9280Aef9232B3762c5234380d6","","0","","aave.eth","sendmax.eth","6","1","10868.083886007","72","17","55","20","0","0"
"0xc9bAE7707881009CEE36E93d6Bd518D84c2ACaB2","","0","","aave.eth","","0","0","9817.770350218","2","2","0","0","0","0"
"0xcC4291b90f0fED7B765eAe31cCfBF2C3d24744F5","","0","","aave.eth","","0","0","9424.6989378339","2","2","0","0","0","0"
"0x96A894eC13e7BC622711af6853d00317215b1e03","","0","","aave.eth","","0","0","9166.3922688259","1","1","0","0","0","0"
"0xE05fD1304C1CfE19dcc6AAb0767848CC4A8f54aa","","0","","aave.eth","","0","0","9078.4350405776","1","1","0","0","0","0"
"0xb72dfF3865C3B73b60e33b1027ee359aADfb8311","","0","","aave.eth","gign.eth","0","0","8314.9727454742","230","150","80","0","0","0"
"0xa7311b6CeAf1E112820F52E3385D0eD9215Ca482","","0","","aave.eth","","0","0","8308.3193233499","1","1","0","0","0","0"
"0xb6D844E2529Bc79a444662aa55f72acA08fd8f54","","0","ipfs://bafkreibb2dzs6mfyruxanjvyst6ksoxizl3jwrd4s3mfau5cnstipm7i2m","aave.eth","","4","1","8307.0097626179","87","73","14","6","0","0"
"0xd29F3eb4760EFdE9a7FD508a564d9F9E338D1e5f","","0","","aave.eth","ac100n.eth","9","1","8110.1845124688","26","12","14","35","0","0"
"0xFbea0772CEF0dbe743A18b132BFBb8F9eb0Bf0AA","","0","","aave.eth","","0","0","7282.1136303028","11","5","6","0","0","0"
"0xEBf919b0DAfb9ea4BF324108A142C64A69052D8f","","0","","aave.eth","","0","0","7279.1333186179","2","2","0","2","0","0"
"0x9F20DB7833C42eF63AA5B6d79C82307D6Ce7B36B","","0","","aave.eth","","0","0","6940","5","5","0","0","0","0"
"0x72b223De2F773C814465C4A8f2Ef9FaAe702Cfb3","","0","","aave.eth","","9","1","6871.8083802719","112","15","97","0","0","0"
"0x32a59b87352e980dD6aB1bAF462696D28e63525D","","0","","aave.eth","pizzallama.eth","20","0","6684.6525419799","765","29","736","20","0","0"
"0x9428E55418755b2F902D3B1f898A871AB5634182","","0","","aave.eth","catman.eth","14","1","6678.9625685182","85","3","82","1","0","0"
"0x9Cf59Ecde926cc1B5FF1Cb9b247E0FEC627091b1","","0","","aave.eth","","0","0","6580.1596153911","2","1","1","0","0","0"
"0xFe4C4A27BeD5E9113480C84A177068F7421A1Eb7","","0","","aave.eth","","14","1","6501.1441336915","579","92","487","2","0","0"
"0x390cf0f0e40f1177aDa90A8F56Ca764e98BCA901","","0","","aave.eth","","0","0","6246.5709123664","5","5","0","0","0","0"
"0x15b3ad7583eCF1EaD4B44b0f383427d019a954eD","","0","","aave.eth","","0","0","6168.399815025","14","14","0","0","0","0"
"0x74f0ef88878bAd5c38EE76144ebB723C94E25A86","","0","","aave.eth","","20","0","5961.8720176862","70","9","61","2","0","0"
"0xea25220Caf98e0097fB8401d8A44e2d4f2CEf093","","0","","aave.eth","","0","0","5948.4304650326","9","1","8","0","0","0"
"0x972C4546aBe5Cb312C7B10B62EF6c539A698D2cA","","0","","aave.eth","","0","0","5418.5690736414","10","10","0","0","0","0"
"0x6076908D835dDAAeF6baAA7e3E0AFD5Ea00de09C","","0","","aave.eth","","0","0","5349.3916899063","25","11","14","8","0","0"
"0x0D5755471429dad1CEc8ADECE10a110baC7DE25E","","0","","aave.eth","","1","1","5160.2869843976","25","25","0","0","0","0"
"0x2533321a436578C60A176bD7cb0F9B2590a98EA1","","0","","aave.eth","","8","1","5143.101790379","122","34","88","0","0","0"
"0xB7Fb2B774Eb5E2DaD9C060fb367AcBdc7fA7099B","","0","","aave.eth","","1","1","5021.7784752897","7","7","0","0","0","0"
"0x68fd0a0518b3120d844c5fB8a6f6dEFA4CaD42c5","","0","","aave.eth","","0","0","5000.94453254","1","1","0","0","0","0"
"0x3f9F80f22Ad0613BDdBbcA38129e9eA8d8943d84","","0","","aave.eth","","0","0","5000","1","1","0","0","0","0"
"0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248","","0","","aave.eth","","0","0","4998.6546626652","13","8","5","0","0","0"
"0x5A27DBBfF05F36DC927137855E3381f0c20C1CDd","","0","","aave.eth","","0","0","4931.5615652639","3","1","2","0","0","0"
"0x93FC1F35f53a9553534979233caF273214C51Fd7","","0","","aave.eth","jiyuu.eth","12","1","4829.3130993165","65","5","60","0","0","0"
"0x5e5FFEf1103717f17a9A155D0c7646EC5e16551E","","0","","aave.eth","","2","0","4606.2161064789","60","6","54","0","0","0"
"0xf5a93410e7e32BBf28a8EAAfBd7f241cF0b290fb","Barry Lime","0","","aave.eth","barrylime.eth","20","0","4505.4368795783","255","38","217","39","1","0"
"0xC2634B9d0A0cFb756cDed34656E09828072A8a9B","","0","","aave.eth","","10","1","4428.9084030967","201","33","168","11","0","0"
"0x5Fa00C434254B4Ee4E305D3694786374914ecFA8","Crypto Plaza Governance","0","ipfs://bafkreigndio6wdiiztwcbqpkhjc6a2xecnfu2vxzlklpasjq2uni2qksuq","aave.eth","","5","1","4318.9202282967","24","20","4","0","0","0"
